DersKodu;DersAdi;DersiVeren;DersUzunluk;AKTS;OgrSayisi;AcildigiProgram;Donem
FIZ-102-50-50;Fizik II;Prof.Dr. Mustafa SAÐLAM;5;NULL;0;Metalurji ve Malzeme Mühendisliði Programý;2
MET-206-50-50;Malzeme II;Prof.Dr. Kadri Vefa EZÝRMÝK;3;6;4;Metalurji ve Malzeme Mühendisliði Programý;4
MET-208-50-50;Katýlaþma Faz Diyagramlarý;Doç.Dr. Çaðlar YÜKSEL;3;4;1;Metalurji ve Malzeme Mühendisliði Programý;4
MTS-202-50-50;Korozyon ve Korozyondan Korunma;NULL;3;4;0;Metalurji ve Malzeme Mühendisliði Programý;4
MET-210-50-50;Met. Termodinamiði;Dr. Öðr. Üyesi Güzide Meltem LÜLE ÞENÖZ;3;4;1;Metalurji ve Malzeme Mühendisliði Programý;4
MET-204-50-50;Üretim Met. Prensipleri;Dr. Öðr. Üyesi Yunus Emre BENKLÝ;6;6;1;Metalurji ve Malzeme Mühendisliði Programý;4
MET-304-50-50;Malzeme Karakterizasyonu;Prof.Dr. Kadri Vefa EZÝRMÝK;5;5;4;Metalurji ve Malzeme Mühendisliði Programý;6
MET-306-50-50-KREDÝ;Demir Çelik Üretimi;Dr. Öðr. Üyesi Yunus Emre BENKLÝ;3;5;2;Metalurji ve Malzeme Mühendisliði Programý;6
MET-310-50-50-KREDÝ;Malzeme Laboratuarý;Dr. Öðr. Üyesi Mehmet Kürþat DÝLMAÇ;3;3;2;Metalurji ve Malzeme Mühendisliði Programý;6
MET-308-50-50-KREDÝ;Metalurjik Yakýtlar ve Hammaddeler;Dr. Öðr. Üyesi Güzide Meltem LÜLE ÞENÖZ;2;3;2;Metalurji ve Malzeme Mühendisliði Programý;6
MET-302-50-50;Plastik Þekil verme;Prof.Dr. Burak DÝKÝCÝ;2;3;5;Metalurji ve Malzeme Mühendisliði Programý;6
MTS-408-50-50;Metalurji Malzeme Mühendisliði Seçmeli Tasarým II;Prof.Dr. Burak DÝKÝCÝ;4;6;2;Metalurji ve Malzeme Mühendisliði Programý;8
MET-406-50-50;Bitirme Projesi II;Prof.Dr. Burak DÝKÝCÝ;2;NULL;2;Metalurji ve Malzeme Mühendisliði Programý;8
MET-404-50-50-KREDÝ;Refrakter Malzemeler;Dr. Öðr. Üyesi Mehmet Kürþat DÝLMAÇ;2;3;3;Metalurji ve Malzeme Mühendisliði Programý;8
MET-402-50-50-KREDÝ;Seramik ve Kompozit Malzemeler;Prof.Dr. Derya TEKÝN;2;3;5;Metalurji ve Malzeme Mühendisliði Programý;8
MTS-402-50-50;Endüstriyel Hammaddeler;Dr. Öðr. Üyesi Mustafa Engin KOCADAÐÝSTAN;3;0;4;Metalurji ve Malzeme Mühendisliði Programý;8
MKS-302-50-50-AKTS;Hidrolik Pnomatik Sistemler;Prof.Dr. Kenan YAKUT;3;5;46;Makine Mühendisliði Programý;6
MKS-302-50-50;Algoritma Geliþtirme ve Programlama;Prof.Dr. Sadri ÞEN;3;5;42;Makine Mühendisliði Programý;6
MMS-310-50-50;Algoritma Geliþtirme Programlama;Prof.Dr. Sadri ÞEN;3;4;5;Makine Mühendisliði Programý;6
MMS-310-50-50-KREDÝ;Hidrolik Pnomatik Sistemler;Prof.Dr. Kenan YAKUT;3;4;11;Makine Mühendisliði Programý;6
MUH-USS-50-50-AKTS;Giriþimcilik II;Prof.Dr. Recep SADELER;2;3;61;Makine Mühendisliði Programý;8
MKS-402-50-50;Tahribatsýz Malzeme Muayenesi;Prof.Dr. Ayhan ÇELÝK;3;5;12;Makine Mühendisliði Programý;8
MKS-402-50-50;Buhar Kazanlarý;Dr. Öðr. Üyesi Fadime ÞÝMÞEK;3;5;11;Makine Mühendisliði Programý;8
