DerslikAdi;KapasiteKisi;Birim_Adi
D3;99;Mühendislik Fakültesi
D4;108;Mühendislik Fakültesi
D5;108;Mühendislik Fakültesi
D14;90;Mühendislik Fakültesi
D15;90;Mühendislik Fakültesi
D16;180;Mühendislik Fakültesi
D17;90;Mühendislik Fakültesi
D18;90;Mühendislik Fakültesi
MD-102;80;Mühendislik Fakültesi
D17;90;Mühendislik Fakültesi
TRS1;56;Mühendislik Fakültesi
TRS1;56;Mühendislik Fakültesi
TRS2;56;Mühendislik Fakültesi
G.KİM LAB;40;Mühendislik Fakültesi
FİZ.LAB;60;Mühendislik Fakültesi
G.KİM.LAB;60;Mühendislik Fakültesi
FİZ.LAB;60;Mühendislik Fakültesi
MAK.LAB;60;Mühendislik Fakültesi
ÇEV.LAB;60;Mühendislik Fakültesi
İnşaat Mühendisliği Lab;50;Mühendislik Fakültesi
DEVRE.LAB;60;Mühendislik Fakültesi
KİM.LAB;60;Mühendislik Fakültesi
KİM.MÜH.LAB.-I;60;Mühendislik Fakültesi
BİL.LAB;60;Mühendislik Fakültesi
ÇEV.LAB;60;Mühendislik Fakültesi
L1;36;Mühendislik Fakültesi
TRS1;56;Mühendislik Fakültesi
TRS2;56;Mühendislik Fakültesi
L2;36;Mühendislik Fakültesi
FİZİK LABORATUARI;60;Mühendislik Fakültesi
KİM MÜH LAB III;200;Mühendislik Fakültesi
ÇEV.LAB.;75;Mühendislik Fakültesi
TRS1;56;Mühendislik Fakültesi
TRS2;56;Mühendislik Fakültesi
Bilgisayar Laboratuvarı-IV;32;Mühendislik Fakültesi
L3;36;Mühendislik Fakültesi
L4;24;Mühendislik Fakültesi
TRSE2;44;Mühendislik Fakültesi
L1;36;Mühendislik Fakültesi
L2;36;Mühendislik Fakültesi
L3;36;Mühendislik Fakültesi
L4;24;Mühendislik Fakültesi
TRS1;56;Mühendislik Fakültesi
TRS2;56;Mühendislik Fakültesi
TRS3;56;Mühendislik Fakültesi
TRSE1;44;Mühendislik Fakültesi
TRSE2;44;Mühendislik Fakültesi
TRS1;56;Mühendislik Fakültesi
TRS2;56;Mühendislik Fakültesi
TRS3;56;Mühendislik Fakültesi
TRSE1;44;Mühendislik Fakültesi
TRSE2;44;Mühendislik Fakültesi
L1;36;Mühendislik Fakültesi
L1;36;Mühendislik Fakültesi
L2;36;Mühendislik Fakültesi
L3;36;Mühendislik Fakültesi
L2;36;Mühendislik Fakültesi
L3;36;Mühendislik Fakültesi
L4;24;Mühendislik Fakültesi
TRS2;56;Mühendislik Fakültesi
TRSE1;44;Mühendislik Fakültesi
TRSE2;44;Mühendislik Fakültesi
L1;36;Mühendislik Fakültesi
L2;36;Mühendislik Fakültesi
L3;36;Mühendislik Fakültesi
L4;24;Mühendislik Fakültesi
L3;36;Mühendislik Fakültesi
L4;24;Mühendislik Fakültesi
TRS3;56;Mühendislik Fakültesi
TRSE1;44;Mühendislik Fakültesi
TRSE2;44;Mühendislik Fakültesi
L1;36;Mühendislik Fakültesi
L2;36;Mühendislik Fakültesi
L3;36;Mühendislik Fakültesi
L4;24;Mühendislik Fakültesi
TRS1;56;Mühendislik Fakültesi
TRS2;56;Mühendislik Fakültesi
TRS3;56;Mühendislik Fakültesi
TRSE2;44;Mühendislik Fakültesi
L1;36;Mühendislik Fakültesi
L2;36;Mühendislik Fakültesi
L3;36;Mühendislik Fakültesi
L4;24;Mühendislik Fakültesi
TRS1;56;Mühendislik Fakültesi
TRS2;56;Mühendislik Fakültesi
TRS3;56;Mühendislik Fakültesi
TRSE1;44;Mühendislik Fakültesi
TRSE2;44;Mühendislik Fakültesi
Malzeme laboratuarı;40;Mühendislik Fakültesi
TRS2;56;Mühendislik Fakültesi
TRS1;56;Mühendislik Fakültesi
KİMYA LABORATUARI;80;Mühendislik Fakültesi
KİM.MÜH.LAB-I;80;Mühendislik Fakültesi
TRSE1;44;Mühendislik Fakültesi
TRS2;56;Mühendislik Fakültesi
Elektrik Makinaları Lab.;48;Mühendislik Fakültesi
Mikroişlemciler/Sayısal Laboratuarı;48;Mühendislik Fakültesi
Elektrik Devre Temelleri Laboratuarı;48;Mühendislik Fakültesi
İnşaat Mühendisliği Lab;50;Mühendislik Fakültesi
EDT LAB;60;Mühendislik Fakültesi
SAYISAL DEVRE LAB;60;Mühendislik Fakültesi
İnşaat Mühendisliği Lab;60;Mühendislik Fakültesi
ÇEVRE MÜHENDİSLİĞİ LABORATUVARI;60;Mühendislik Fakültesi
TRSE1;44;Mühendislik Fakültesi
TRSE2;44;Mühendislik Fakültesi
D10;35;Mühendislik Fakültesi
D10;35;Mühendislik Fakültesi
D10;35;Mühendislik Fakültesi
D10;35;Mühendislik Fakültesi
D10;35;Mühendislik Fakültesi
D2;35;Mühendislik Fakültesi
D2;35;Mühendislik Fakültesi
D2;35;Mühendislik Fakültesi
D2;35;Mühendislik Fakültesi
YÜKSEK LİSANS DERSH.;20;Mühendislik Fakültesi
ÇEVRE SEMİNER ODASI;40;Mühendislik Fakültesi
Çevre Seminer Odası ;20;Mühendislik Fakültesi
D2;35;Mühendislik Fakültesi
D2;35;Mühendislik Fakültesi
D2;35;Mühendislik Fakültesi
D2;35;Mühendislik Fakültesi
